Team 1,Team 2,Venue,Winner,Man of the Match,Toss Winner
Oman,Nepal,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Nepal,Karan KC,Oman
West Indies,Zimbabwe,"Alokozay Kabul International Cricket Ground, Afghanistan",West Indies,Jason Holder,West Indies
West Indies,Australia,"Punjab Cricket Association IS Bindra Stadium, India",West Indies,Jason Holder,West Indies
Bangladesh,Ireland,"Browne Park, Montserrat, West Indies",Ireland,Kevin O'Brien,Ireland
England,Nepal,"Dehradun Cricket Stadium, India",England,Joe Root,England
Australia,Pakistan,"Thiruvananthapuram Cricket Stadium, India",Australia,Steve Smith,Australia
Bangladesh,West Indies,"Seddon Park, New Zealand",Bangladesh,Tamim Iqbal,West Indies
Zimbabwe,India,"Galle International Stadium, Sri Lanka",India,Rohit Sharma,India
Nepal,England,"Queen's Park Oval, Trinidad, West Indies",Nepal,Gyanendra Malla,England
United Arab Emirates,Afghanistan,"Providence Stadium, Guyana, West Indies",United Arab Emirates,Muhammad Usman,United Arab Emirates
Sri Lanka,Afghanistan,"Punjab Cricket Association IS Bindra Stadium, India",Afghanistan,Mujeeb Ur Rahman,Sri Lanka
England,United Arab Emirates,"Vidarbha Cricket Association Stadium, India",United Arab Emirates,Muhammad Usman,England
Scotland,Papua New Guinea,"Rajiv Gandhi International Cricket Stadium, India",Papua New Guinea,Tony Ura,Scotland
Pakistan,Nepal,"Adelaide Oval, Australia",Pakistan,Mohammad Rizwan,Pakistan
Bangladesh,Sri Lanka,"Rajiv Gandhi International Cricket Stadium, India",Sri Lanka,Angelo Mathews,Sri Lanka
England,Oman,"Wankhede Stadium, India",England,Jason Roy,Oman
United Arab Emirates,West Indies,"Barsapara Stadium, India",West Indies,Kieron Pollard,United Arab Emirates
Sri Lanka,Afghanistan,"Al Amerat Cricket Ground, Oman",Sri Lanka,Dinesh Chandimal,Sri Lanka
West Indies,Ireland,"Holkar Stadium, India",West Indies,Andre Russell,West Indies
India,Australia,"Lucknow Cricket Stadium, India",Australia,Mitchell Starc,India
United Arab Emirates,Scotland,"Old Trafford, England",United Arab Emirates,Ahmed Raza,United Arab Emirates
Netherlands,South Africa,"Chinnaswamy Stadium, India",Netherlands,Bas de Leede,Netherlands
Namibia,Afghanistan,"Lord's, England",Namibia,Gerhard Erasmus,Afghanistan
Papua New Guinea,Bangladesh,"Warner Park, St Kitts, West Indies",Bangladesh,Tamim Iqbal,Papua New Guinea
Sri Lanka,Australia,"Greenfield International Stadium, India",Sri Lanka,Kusal Perera,Sri Lanka
United Arab Emirates,Sri Lanka,"Harare Sports Club, Zimbabwe",Sri Lanka,Dinesh Chandimal,Sri Lanka
Afghanistan,Nepal,"Greenfield International Stadium, India",Nepal,Dipendra Singh Airee,Nepal
Ireland,Papua New Guinea,"Indore Cricket Stadium, India",Ireland,Andrew Balbirnie,Ireland
Papua New Guinea,Afghanistan,"Galle International Stadium, Sri Lanka",Afghanistan,Hazratullah Zazai,Afghanistan
England,Ireland,"M. A. Chidambaram Stadium, India",Ireland,Josh Little,Ireland
Namibia,Zimbabwe,"Wanderers Stadium, South Africa",Namibia,Ruben Trumpelmann,Zimbabwe
New Zealand,Australia,"The Grange Club, Scotland",Australia,Pat Cummins,New Zealand
United Arab Emirates,Ireland,"Kabul International Cricket Stadium, Afghanistan",Ireland,Paul Stirling,United Arab Emirates
Nepal,India,"Motera Stadium, India",India,Virat Kohli,India
Netherlands,West Indies,"Bellerive Oval, Australia",West Indies,Jason Holder,West Indies
Zimbabwe,Scotland,"Cuttack Cricket Stadium, India",Zimbabwe,Sikandar Raza,Scotland
Oman,England,"Dubai International Stadium, UAE",Oman,Bilal Khan,Oman
England,Bangladesh,"Harare Sports Club, Zimbabwe",England,Ben Stokes,England
Oman,Scotland,"Feroz Shah Kotla Ground, India",Scotland,Richie Berrington,Scotland
Afghanistan,South Africa,"Kensington Oval, Barbados, West Indies",South Africa,Anrich Nortje,Afghanistan
Nepal,England,"Raipur International Cricket Stadium, India",England,Jofra Archer,Nepal
Bangladesh,Australia,"Feroz Shah Kotla Ground, India",Australia,Steve Smith,Bangladesh
United Arab Emirates,South Africa,"Dubai International Stadium, UAE",United Arab Emirates,Ahmed Raza,South Africa
New Zealand,India,"Punjab Cricket Association IS Bindra Stadium, India",India,Rohit Sharma,India
Papua New Guinea,Scotland,"Wanderers Stadium, South Africa",Papua New Guinea,Tony Ura,Papua New Guinea
Nepal,Australia,"Harare Sports Club, Zimbabwe",Nepal,Sandeep Lamichhane,Nepal
Ireland,Afghanistan,"Galle International Stadium, Sri Lanka",Afghanistan,Rashid Khan,Ireland
Zimbabwe,Netherlands,"Sher-e-Bangla National Stadium, Bangladesh",Netherlands,Pieter Seelaar,Netherlands
West Indies,England,"Holkar Stadium, India",England,Joe Root,England
Zimbabwe,New Zealand,"Guwahati Cricket Stadium, India",New Zealand,Trent Boult,New Zealand
United Arab Emirates,Ireland,"Himachal Pradesh Cricket Association Stadium, India",United Arab Emirates,Muhammad Usman,Ireland
Namibia,England,"Ranchi Cricket Stadium, India",England,Jofra Archer,England
Nepal,Scotland,"Patna Cricket Stadium, India",Nepal,Karan KC,Scotland
Australia,Pakistan,"Lord's, England",Pakistan,Mohammad Rizwan,Pakistan
Nepal,Oman,"Adelaide Oval, Australia",Oman,Jatinder Singh,Nepal
Hong Kong,Ireland,"Amini Park, Papua New Guinea",Hong Kong,Babar Hayat,Hong Kong
West Indies,United Arab Emirates,"Ranchi Cricket Stadium, India",West Indies,Chris Gayle,West Indies
Australia,Netherlands,"Rajkot Cricket Stadium, India",Australia,Glenn Maxwell,Netherlands
Papua New Guinea,Oman,"Dehradun Cricket Stadium, India",Oman,Zeeshan Maqsood,Papua New Guinea
England,Netherlands,"Alokozay Kabul International Cricket Ground, Afghanistan",England,Jos Buttler,England
South Africa,Nepal,"Holkar Stadium, India",Nepal,Karan KC,South Africa
Oman,New Zealand,"Gaddafi Stadium, Pakistan",New Zealand,Kane Williamson,New Zealand
Namibia,Scotland,"National Stadium, Karachi, Pakistan",Namibia,David Wiese,Scotland
Scotland,United Arab Emirates,"Galle International Stadium, Sri Lanka",Scotland,George Munsey,Scotland
Nepal,Oman,"Adelaide Oval, Australia",Nepal,Dipendra Singh Airee,Nepal
Afghanistan,Bangladesh,"Wankhede Stadium, India",Afghanistan,Hazratullah Zazai,Afghanistan
Netherlands,India,"Old Trafford, England",India,Jasprit Bumrah,India
India,Papua New Guinea,"Perth Stadium, Australia",Papua New Guinea,Lega Siaka,India
Australia,Ireland,"Sher-e-Bangla National Stadium, Bangladesh",Ireland,Harry Tector,Ireland
Sri Lanka,South Africa,"Punjab Cricket Association IS Bindra Stadium, India",Sri Lanka,Dinesh Chandimal,South Africa
Papua New Guinea,United Arab Emirates,"Kensington Oval, Barbados, West Indies",Papua New Guinea,Tony Ura,Papua New Guinea
Australia,Nepal,"Dubai International Stadium, UAE",Australia,Pat Cummins,Nepal
Nepal,Netherlands,"Hagley Oval, New Zealand",Nepal,Sandeep Lamichhane,Netherlands
India,Oman,"M. A. Chidambaram Stadium, India",Oman,Jatinder Singh,Oman
England,New Zealand,"Eden Gardens, India",New Zealand,Kane Williamson,England
England,Australia,"Dubai International Stadium, UAE",England,Ben Stokes,England
Netherlands,Zimbabwe,"Perth Stadium, Australia",Netherlands,Ben Cooper,Zimbabwe
Pakistan,New Zealand,"Hagley Oval, New Zealand",New Zealand,Ross Taylor,Pakistan
West Indies,Papua New Guinea,"Dehradun Cricket Stadium, India",Papua New Guinea,Charles Amini,Papua New Guinea
Oman,Hong Kong,"Indore Cricket Stadium, India",Hong Kong,Aizaz Khan,Hong Kong
South Africa,Scotland,"Al Amerat Cricket Ground, Oman",Scotland,Mark Watt,Scotland
Nepal,Namibia,"Amini Park, Papua New Guinea",Namibia,Ruben Trumpelmann,Namibia
Afghanistan,Pakistan,"Sabina Park, Jamaica, West Indies",Afghanistan,Mujeeb Ur Rahman,Afghanistan
Nepal,Oman,"Mission Road Ground, Hong Kong",Oman,Jatinder Singh,Nepal
India,Oman,"Nagpur Cricket Stadium, India",India,Virat Kohli,India
Afghanistan,Pakistan,"Patna Cricket Stadium, India",Afghanistan,Hazratullah Zazai,Afghanistan
Afghanistan,Oman,"Galle International Stadium, Sri Lanka",Oman,Bilal Khan,Oman
West Indies,United Arab Emirates,"Sher-e-Bangla National Stadium, Bangladesh",West Indies,Kieron Pollard,United Arab Emirates
Ireland,Papua New Guinea,"Vizag Cricket Stadium, India",Papua New Guinea,Charles Amini,Papua New Guinea
Netherlands,Sri Lanka,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Netherlands,Max O'Dowd,Sri Lanka
Oman,Ireland,"Wankhede Stadium, India",Oman,Aqib Ilyas,Ireland
Scotland,Nepal,"Wanderers Stadium, South Africa",Nepal,Paras Khadka,Nepal
Afghanistan,India,"Lord's, England",Afghanistan,Rahmanullah Gurbaz,India
Papua New Guinea,Oman,"Eden Park, New Zealand",Papua New Guinea,Charles Amini,Papua New Guinea
Hong Kong,Scotland,"Vizag Cricket Stadium, India",Scotland,Richie Berrington,Hong Kong
Nepal,Afghanistan,"Thiruvananthapuram Cricket Stadium, India",Afghanistan,Rashid Khan,Nepal
Afghanistan,New Zealand,"Maharashtra Cricket Association Stadium, India",New Zealand,Tom Latham,New Zealand
Pakistan,Namibia,"National Stadium, Karachi, Pakistan",Pakistan,Babar Azam,Namibia
Pakistan,Australia,"Himachal Pradesh Cricket Association Stadium, India",Australia,Pat Cummins,Pakistan
England,West Indies,"Bellerive Oval, Australia",England,Ben Stokes,England
Sri Lanka,England,"M. A. Chidambaram Stadium, India",Sri Lanka,Angelo Mathews,England
England,West Indies,"Himachal Pradesh Cricket Association Stadium, India",West Indies,Andre Russell,West Indies
Ireland,Papua New Guinea,"Sharjah Cricket Stadium, UAE",Papua New Guinea,Assad Vala,Papua New Guinea
West Indies,India,"Motera Stadium, India",India,Rohit Sharma,India
Namibia,Hong Kong,"Sher-e-Bangla National Stadium, Bangladesh",Hong Kong,Aizaz Khan,Namibia
India,United Arab Emirates,"Old Trafford, England",India,Hardik Pandya,India
Nepal,Bangladesh,"Motera Stadium, India",Bangladesh,Tamim Iqbal,Nepal
United Arab Emirates,Oman,"Wanderers Cricket Ground, Namibia",United Arab Emirates,Waheed Ahmed,Oman
Bangladesh,Netherlands,"Raipur International Cricket Stadium, India",Netherlands,Bas de Leede,Bangladesh
Papua New Guinea,Zimbabwe,"The Grange Club, Scotland",Zimbabwe,Craig Ervine,Papua New Guinea
Nepal,South Africa,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Nepal,Sandeep Lamichhane,South Africa
United Arab Emirates,Oman,"Amini Park, Papua New Guinea",Oman,Aqib Ilyas,United Arab Emirates
Ireland,Hong Kong,"Surat Cricket Stadium, India",Ireland,Harry Tector,Hong Kong
England,Netherlands,"Thiruvananthapuram Cricket Stadium, India",England,Jos Buttler,England
England,Netherlands,"Kabul International Cricket Stadium, Afghanistan",England,Jofra Archer,Netherlands
India,Afghanistan,"Himachal Pradesh Cricket Association Stadium, India",India,Rishabh Pant,Afghanistan
Namibia,Afghanistan,"Greenfield International Stadium, India",Namibia,Gerhard Erasmus,Afghanistan
Namibia,Sri Lanka,"Lord's, England",Sri Lanka,Lasith Malinga,Sri Lanka
England,Ireland,"Eden Gardens, India",Ireland,Kevin O'Brien,England
Ireland,Australia,"Rajiv Gandhi International Cricket Stadium, India",Ireland,Kevin O'Brien,Australia
Scotland,Netherlands,"M. A. Chidambaram Stadium, India",Scotland,Richie Berrington,Netherlands
Zimbabwe,Hong Kong,"Sharjah Cricket Stadium, UAE",Hong Kong,Aizaz Khan,Zimbabwe
West Indies,Afghanistan,"Adelaide Oval, Australia",West Indies,Andre Russell,West Indies
Zimbabwe,Ireland,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Ireland,Harry Tector,Ireland
Sri Lanka,Australia,"Bellerive Oval, Australia",Sri Lanka,Dinesh Chandimal,Sri Lanka
England,Nepal,"Patna Cricket Stadium, India",Nepal,Gyanendra Malla,England
England,Papua New Guinea,"Saurashtra Cricket Association Stadium, India",England,Jason Roy,England
Pakistan,United Arab Emirates,"Sheikh Zayed Stadium, UAE",United Arab Emirates,Waheed Ahmed,Pakistan
Zimbabwe,Sri Lanka,"Jharkhand State Cricket Association Stadium, India",Sri Lanka,Lasith Malinga,Sri Lanka
Zimbabwe,Hong Kong,"Wankhede Stadium, India",Zimbabwe,Sean Williams,Hong Kong
India,Papua New Guinea,"Guwahati Cricket Stadium, India",India,Hardik Pandya,India
Papua New Guinea,Oman,"Cuttack Cricket Stadium, India",Oman,Bilal Khan,Papua New Guinea
Australia,Netherlands,"Cuttack Cricket Stadium, India",Australia,Steve Smith,Netherlands
India,Afghanistan,"Dharamsala Cricket Stadium, India",India,Jasprit Bumrah,India
Nepal,India,"Wanderers Cricket Ground, Namibia",Nepal,Karan KC,India
Oman,Scotland,"Holkar Stadium, India",Scotland,Safyaan Sharif,Scotland
Namibia,Bangladesh,"Ranchi Cricket Stadium, India",Bangladesh,Mustafizur Rahman,Bangladesh
United Arab Emirates,Zimbabwe,"Bay Oval, New Zealand",Zimbabwe,Craig Ervine,United Arab Emirates
Oman,Pakistan,"Alokozay Kabul International Cricket Ground, Afghanistan",Oman,Khawar Ali,Oman
Bangladesh,New Zealand,"Hyderabad Cricket Stadium, India",New Zealand,Kane Williamson,New Zealand
Ireland,Sri Lanka,"Saurashtra Cricket Association Stadium, India",Sri Lanka,Lasith Malinga,Sri Lanka
New Zealand,West Indies,"Dehradun Cricket Stadium, India",West Indies,Chris Gayle,New Zealand
South Africa,New Zealand,"Kensington Oval, Barbados, West Indies",New Zealand,Trent Boult,New Zealand
Papua New Guinea,United Arab Emirates,"Greenfield International Stadium, India",Papua New Guinea,Nosaina Pokana,United Arab Emirates
Ireland,Bangladesh,"Melbourne Cricket Ground, Australia",Ireland,Josh Little,Bangladesh
Ireland,Pakistan,"Arun Jaitley Stadium, India",Ireland,Andrew Balbirnie,Pakistan
South Africa,Scotland,"Feroz Shah Kotla Ground, India",Scotland,Mark Watt,South Africa
England,Australia,"Chinnaswamy Stadium, India",Australia,Mitchell Starc,Australia
New Zealand,Papua New Guinea,"Sydney Cricket Ground, Australia",Papua New Guinea,Nosaina Pokana,New Zealand
Ireland,Namibia,"Indore Cricket Stadium, India",Namibia,David Wiese,Namibia
Sri Lanka,Australia,"Kensington Oval, Barbados, West Indies",Australia,Mitchell Starc,Sri Lanka
Australia,Zimbabwe,"Ranchi Cricket Stadium, India",Zimbabwe,Sikandar Raza,Australia
New Zealand,United Arab Emirates,"Dubai International Stadium, UAE",New Zealand,Trent Boult,New Zealand
India,Zimbabwe,"Sharjah Cricket Stadium, UAE",Zimbabwe,Sikandar Raza,Zimbabwe
Netherlands,Afghanistan,"Tribhuvan University International Cricket Ground, Nepal",Afghanistan,Rashid Khan,Afghanistan
West Indies,Netherlands,"Saurashtra Cricket Association Stadium, India",West Indies,Chris Gayle,Netherlands
Netherlands,Pakistan,"Sher-e-Bangla National Stadium, Bangladesh",Pakistan,Shadab Khan,Netherlands
Papua New Guinea,West Indies,"Harare Sports Club, Zimbabwe",Papua New Guinea,Charles Amini,West Indies
Netherlands,Nepal,"The Grange Club, Scotland",Nepal,Sandeep Lamichhane,Nepal
West Indies,Australia,"Feroz Shah Kotla Ground, India",West Indies,Andre Russell,West Indies
India,Scotland,"Adelaide Oval, Australia",India,Rohit Sharma,Scotland
Namibia,England,"Newlands, South Africa",Namibia,Craig Williams,England
Pakistan,Bangladesh,"Hyderabad Cricket Stadium, India",Pakistan,Shadab Khan,Bangladesh
India,Ireland,"Malahide Cricket Club Ground, Ireland",Ireland,Paul Stirling,India
Ireland,Nepal,"Kanpur Cricket Stadium, India",Ireland,Harry Tector,Ireland
Hong Kong,Scotland,"Newlands, South Africa",Scotland,Richie Berrington,Scotland
Afghanistan,West Indies,"Thiruvananthapuram Cricket Stadium, India",West Indies,Kieron Pollard,West Indies
Bangladesh,West Indies,"Amini Park, Papua New Guinea",Bangladesh,Mustafizur Rahman,West Indies
Sri Lanka,Oman,"Indore Cricket Stadium, India",Oman,Zeeshan Maqsood,Oman
Oman,Namibia,"Raipur International Cricket Stadium, India",Namibia,Craig Williams,Oman
New Zealand,Bangladesh,"Queen's Park Oval, Trinidad, West Indies",New Zealand,Ross Taylor,Bangladesh
New Zealand,Oman,"Lucknow Cricket Stadium, India",Oman,Zeeshan Maqsood,Oman
Oman,West Indies,"Kensington Oval, Barbados, West Indies",West Indies,Andre Russell,Oman
Papua New Guinea,West Indies,"Wankhede Stadium, India",Papua New Guinea,Nosaina Pokana,West Indies
Papua New Guinea,Afghanistan,"Mission Road Ground, Hong Kong",Afghanistan,Hazratullah Zazai,Afghanistan
India,West Indies,"Chinnaswamy Stadium, India",West Indies,Andre Russell,India
West Indies,Bangladesh,"Vizag Cricket Stadium, India",West Indies,Chris Gayle,Bangladesh
Oman,Ireland,"Holkar Stadium, India",Oman,Jatinder Singh,Oman
Zimbabwe,South Africa,"National Stadium, Karachi, Pakistan",South Africa,Anrich Nortje,Zimbabwe
Papua New Guinea,Sri Lanka,"Queen's Park Oval, Trinidad, West Indies",Papua New Guinea,Nosaina Pokana,Sri Lanka
United Arab Emirates,Oman,"Melbourne Cricket Ground, Australia",United Arab Emirates,Chirag Suri,United Arab Emirates
Namibia,Afghanistan,"Lucknow Cricket Stadium, India",Afghanistan,Hazratullah Zazai,Afghanistan
India,Oman,"Ranchi Cricket Stadium, India",India,Virat Kohli,Oman
Zimbabwe,Netherlands,"Indore Cricket Stadium, India",Netherlands,Fred Klaassen,Zimbabwe
Papua New Guinea,Namibia,"VRA Cricket Ground, Netherlands",Namibia,Craig Williams,Namibia
Oman,India,"Indore Cricket Stadium, India",India,Virat Kohli,Oman
Pakistan,Ireland,"M. A. Chidambaram Stadium, India",Ireland,Paul Stirling,Ireland
Australia,New Zealand,"Lucknow Cricket Stadium, India",Australia,David Warner,Australia
Scotland,Ireland,"Nagpur Cricket Stadium, India",Ireland,Andrew Balbirnie,Scotland
Netherlands,Oman,"Nagpur Cricket Stadium, India",Oman,Jatinder Singh,Netherlands
Afghanistan,Ireland,"M. A. Chidambaram Stadium, India",Afghanistan,Mujeeb Ur Rahman,Ireland
West Indies,England,"Guwahati Cricket Stadium, India",West Indies,Kieron Pollard,West Indies
Scotland,Zimbabwe,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Scotland,George Munsey,Scotland
India,Scotland,"Guwahati Cricket Stadium, India",Scotland,Mark Watt,Scotland
Afghanistan,Zimbabwe,"Warner Park, St Kitts, West Indies",Zimbabwe,Craig Ervine,Afghanistan
New Zealand,United Arab Emirates,"Alokozay Kabul International Cricket Ground, Afghanistan",New Zealand,Kyle Jamieson,United Arab Emirates
Namibia,West Indies,"Sydney Cricket Ground, Australia",West Indies,Andre Russell,Namibia
Papua New Guinea,Zimbabwe,"Tribhuvan University International Cricket Ground, Nepal",Papua New Guinea,Assad Vala,Papua New Guinea
Nepal,Zimbabwe,"Wankhede Stadium, India",Nepal,Paras Khadka,Zimbabwe
Netherlands,Namibia,"Hagley Oval, New Zealand",Namibia,Gerhard Erasmus,Netherlands
Afghanistan,Zimbabwe,"Barsapara Stadium, India",Afghanistan,Rashid Khan,Zimbabwe
Ireland,South Africa,"Maharashtra Cricket Association Stadium, India",Ireland,Andrew Balbirnie,South Africa
Sri Lanka,Papua New Guinea,"Perth Stadium, Australia",Papua New Guinea,Lega Siaka,Papua New Guinea
Hong Kong,Australia,"Vizag Cricket Stadium, India",Hong Kong,Nizakat Khan,Australia
Netherlands,Papua New Guinea,"Wanderers Stadium, South Africa",Netherlands,Bas de Leede,Papua New Guinea
West Indies,Ireland,"Adelaide Oval, Australia",Ireland,Josh Little,Ireland
Sri Lanka,Afghanistan,"Kochi Cricket Stadium, India",Sri Lanka,Wanindu Hasaranga,Sri Lanka
Nepal,South Africa,"Alokozay Kabul International Cricket Ground, Afghanistan",South Africa,Faf du Plessis,South Africa
Oman,Hong Kong,"Sharjah Cricket Stadium, UAE",Oman,Aqib Ilyas,Hong Kong
Zimbabwe,Scotland,"Amini Park, Papua New Guinea",Zimbabwe,Brendan Taylor,Zimbabwe
